"3 BHK Semifurnished Flat in Kadavanthra, 1555 sqft","3 BHK semifurnished flat 1555 sqft with all facilities in Kadavanthara. Good road access. 3/ 16 floors. Branded builder, 10 plus years. Servent bathroom available  Price: 86 Lakhs  700/7699",Kochi,Kadavanthra,3 Bds , 3 Ba , 1555 ft2,"₹ 86,00,000"
"3 BHK Quality Apartment - Palarivattam, Vennala","Ready to occupy new 3 bedrooms apartment near Vennala, Palarivattam. The project is just 300 mtrs from Vennala Junction and 1.5 Kms from Medical Center Hospital and NH 66. Vyttila is 5.5 Kms away from the project and Edappally is 3.9 Kms.   The project offers excellent building quality and branded fittings with affordable price tag.  Pls contact for further information and project visit.",Kochi,MG Road,3 Bds , 4 Ba , 1632 ft2,"₹ 82,00,000"
Furnished 3 Bedrooms Flat for Sale at Kaloor,> Ready to Occupy. > Walkable Distance to Main Road and Metro    Station. > Fully Furnished Resale Flat. > Premium Amenities and Features. > Covered Carpark.  If you are interested pls contact us for further details and project visit.,Kochi,Kacheripady,3 Bds , 3 Ba , 1582 ft2,"₹ 79,00,000"
"Fully Furnished 3 Bedrooms Flat for Sale at Lissie Junction, Kaloor","3 BHK Furnished Flat - Lissie Junction, Kaloor Location : Near Lissie Metro Station, Kaloor Area : 1582 Sqft Bedrooms : 3 Bathrooms : 2 Balconies : 3 Furnishing : Fully Furnished Floor : 8th out of 14 Floors Covered Carpark : 1  Age of Building : 9-10 Years Society Registration : Yes Monthly Maintanance : 3000 Security : Security cum Caretaker Power Backup : Yes Water Source : Corporation  Gymnasium : Yes Swimming Pool -Yes Children's Play Area : Yes Waste Management : Yes",Kochi,MG Road,3 Bds , 3 Ba , 1581 ft2,"₹ 79,00,000"
Ready to move 2bhk budget flat,ready to move 2bhk available. 15minutes drive from marine drive,Kochi,Vypin,2 Bds , 2 Ba , 871 ft2,"₹ 40,90,000"
"Prestige Neptune Courtyard in marine drive ,4 bedroom flat for sale","An east facing 4 bhk resale flat is available in the promising locality of marine drive, kochi. It is a ready to move in spacious flat and is located on the 15th floor. Every single detail of the flat is carefully designed. This feng shui/vaastu compliant property offers quality specifications such as fitness centre/gym, park, rain water harvesting, club house/community center, swimming pool, lift(S), visitor parking and security/fire alarm. It is a gated society flat. The apartment is priced at rs. 37500000 (Rs. 9616 per sq. Ft. ). It is a freehold property, with a super built-Up area of 3900 sq. Ft. It has 4 bathroom(S). The flat comprises of 2 balcony(S) and has vitrified flooring. 1 covered parking. Full power back up. 24x7 water supply from municipal corporation. brokers Please excuse",Kochi,Marine Drive,4 Bds , 4 Ba , 3900 ft2,"₹ 3,99,00,000"
NEW 3 BHK APARTMENT FOR SALE,NEW 3 BHK APARTMENT FOR SALE AT VERY COMPETITIVE PRICE.K-RERA/PRJ/215/2020,Kochi,Vypin,3 Bds , 2 Ba , 1069 ft2,"₹ 50,99,999"
House For Sale,5 സെന്റ് സ്ഥലം 3 bhk ഇരുനില വീട് എറണാകുളം സൗത്തിൽ   റെയിൽവേ സ്റ്റേഷൻ മെട്രോ സ്റ്റേഷൻ ബസ്റ്റോപ്പ് സ്കൂൾ കോളേജ് പള്ളി അമ്പലം ആശുപത്രി ഒരു കിലോമീറ്റർ ചുറ്റളവിൽ  കൂടുതൽ വിവരങ്ങൾ അറിയാൻ വിളിക്കുക 8️⃣1️⃣2️⃣1️⃣1️⃣0️⃣3️⃣5️⃣7️⃣,Kochi,MG Road,3 Bds , 3 Ba , 1800 ft2,"₹ 1,75,00,000"
Newly constructed two storey house for sale,A new launch beautiful house .,Kochi,Perumbadappu,3 Bds , 3 Ba , 1200 ft2,"₹ 57,00,000"
An posh house for sale at Kochi,18500 square feet 5bhk 12 yr old posh house in 33 cent  at Kochi. Asking 25cr  negotiable.. for More photos and videos please contact8️⃣1️⃣2️⃣9️⃣3️⃣9️⃣8️⃣1️⃣4️⃣1️⃣,Kochi,MG Road,4+ Bds , 4+ Ba , 25000 ft2,"₹ 25,00,00,000"
MATHER WHITE WATERS,"Located at Thevara, Kochi, Mather White Waters is inspiring in design, stirring in luxury and enveloped by verdant surroundings.",Kochi,Thevara,3 Bds , 3 Ba , 1800 ft2,"₹ 1,00,00,000"
4 BHK APARTMENT FOR SALE,"Silver Crest the premium residential apartment project from ABAD Builders, is located on Subhash Chandra Bose Road in Jawahar Nagar at Kadavanthra.",Kochi,Kadavanthara,3 Bds , 3 Ba , 2200 ft2,"₹ 1,75,00,000"
"Semi furnished 3 BHk flat for sale at Kathrikadavu, Kochi","> Near to main road (Kaloor - Kadavanthra main road) > Resale flat at good condition > Modern Amenities > Branded Builder > Spacious lobby area > 3 layer security system > Heart of Kochi City.  Pls contact for further details and site visit, Agents Pls Excuse",Kochi,Kadavanthra,3 Bds , 3 Ba , 1520 ft2,"₹ 85,00,000"
New House for Sale (Urgent). Price Negotiable,"2 Floor, 1200 sqft House in 2.5 cent land. Road Side. 3Bedroom with attached bathrooms. Modular kitchen. Lake view from terrace. 24hour water. Near Hospital, School, Bus Stop. Market.",Kochi,Perumpadappu,3 Bds , 3 Ba , 1200 ft2,"₹ 60,00,000"
Prestigious iconic tower flat Tata Tritvam offered discounted price,"The captioned property is a 3bhk+study room lower middle floor with full water front view flat in the most prestigious Iconic tower in the Tata Tritvam Project, Marine Drive extention, Kochi. The super built-up area of the unit is 2461 sft. The property belongs to an NRI and they prefer to deal with a buyer with similar status. The final price for the same is INR 275Lacs absolutely non-negotiable. Price being offered is a discounted one, just to stimulate the sales prospects and to avoid unnecessary complications usually associated with the tag line of ‘open for negotiations’.A prospect buyer is encouraged to indulge in some price research exercise and are most welcometo welcome to see the unit, if he/she are convinced about the lucrativeness of this deal. Glimse on Tritvam. Tata Tritvam is situated in the idealistic location in Marine Drive. This premium flats in Kochi lets you experience the urban comforts amidst the scenic location between the Arabian Sea and the tropical Mangalavanam Bird Sanctuary. Justifying truly to the name - Tritvam, which signifies the divine confluence of the three life elements – earth, water, and sky.Tritvam lets you feast on the best that God’s own Country - Kerala has to offer. International renowned architect Woods Bagot of Australia, construction partner Leighton Welspun Contractors Pvt. Ltd., and globally acclaimed landscape designer Made Wijaya has worked behind the creation of this six high-rise towers masterpiece - Tritvam, which offers the most exquisite lifestyle of international standards. They comprise of 3 and 4 BHK luxury apartments in Kochi each with large living spaces and balconies that offer magnificent views of the panoramic surroundings – make Tritvam undoubtedly one of the most desired property in Kochi are now open for sale. Highlights: Spread over 8.44 acres of land and having 572 units with ample ventilation over 6 independent towers with 50% open space and vehicle free green podium.Property Maintenance by CBRE, world's largest property management company.Green Building with IGBC Gold Rating Certified and 7 Star rating by CARE (Credit Analysis and Research Ltd).15,000 sq.ft Club House with Party Hall, Indoor Games, Cafeteria, Super Market, Library, Multi-gym, Yoga Center, Guest Rooms, Children's Day Care etc.",Kochi,Marine Drive,3 Bds , 4 Ba , 2461 ft2,"₹ 2,75,00,000"
Beautiful 2BHK house Fort Kochi,"House in Fort Kochi, with all necessary amenities available. Good Locality. Market, Schools, Churches, Mosque, Temple Nearby. C@II nlne elght fuor sevn fuor sevn too too elght too.",Kochi,Fort Kochi,2 Bds , 1 Ba , 980 ft2,"₹ 37,00,000"
LIG House for sale in Panampilly nagar,"2 bhk  2 hall kitchen LIG (839) In panampilly nagar  for sale   Extended , renewed, No water logging 400",Kochi,Panampilly Nagar,2 Bds , 1 Ba , 900 ft2,"₹ 40,00,000"
4 Cent and 5000 Sqft 8 BHK House.,"Fortkochi Centre. 3 Floor Upper Ground & 1 Floor Lower Ground. 8 Bedrooms 8 Bathrooms 3Kitchen 3 Hall. It Is A Perfect Property To Start Any Business(Beauty Parlour, Massage Centre, Hostel, Medical Clinic etc.) More Residential Properties Available At Fortkochi. Contact (94963)_(42191)",Kochi,Fort Kochi,4+ Bds , 4+ Ba , 5000 ft2,"₹ 1,85,00,000"
2BHK FURNISHED FLAT FOR IMMEDIATE SALE  AT MG ROAD KOCHI  40 LAKHS,"Immediate sale one 2BHK both attached flat on the 5th floor.  Corner flat with good ventillation and natural light.  Close to MG road, Kochi, at Dwaraka Junction.   It is furnished with sofa set, dining table, double coat in both rooms, gas stove with connection, cupboards, 3-phase electric connection.   Car parking not provided but paid private parking available  nearby     Heart of the city, reliance super market closeby, Very near to Medical Trust Hospital, DH Ground, backwaters, Metro and South Rly station, Ernakulam Shiva temple,  Rs.40 lakhs is negotiable with genuine buyers.    Ideal for NRIs and corporates for a guest house.   24 hours security, CC TV Camera, both well and water authority water availability.  Serious buyers only need to contact.  Agents with genuine enquiries may be considered.",Kochi,MG Road,2 Bds , 2 Ba , 877 ft2,"₹ 40,00,000"
1BHK  STUDIO FLAT WITHOUT CAR PARKING FOR SALE AT MG ROAD 26 LAKHS,"Immediate sale one 1BHK  attached flat on the 4th floor.  Close to MG road, Kochi, at Woodlands Junction.  It is furnished with sofa set, dining table, double coat , gas stove Two wheeler parking only.  Heart of the city.  Very near to Medical Trust Hospital, General Hospital, DH Ground, backwaters, Metro and South Rly station, Ernakulam Shiva temple,  Rs.26 lakhs only.   Can be used for office and office- cum- residence  Ideal for NRIs and corporates for a guest house.  Only genuine buyers needs to contact.",Kochi,MG Road,1 Bds , 1 Ba , 550 ft2,"₹ 26,00,000"
2918 SQFT 4 BHK TATA TRITVAM MARINE DRIVE,FLAT DETAILS  LOCATION       : MARINE DRIVE BEDROOM      : 4 BATHROOM   : 5 SQFT                : 2918 FURNISHED    : SEMI Brokers please excuse . For more details contact,Kochi,Marine Drive,4 Bds , 4+ Ba , 2918 ft2,"₹ 3,10,00,000"
TATA TRITVAM ICONIC 4 BHK FLAT FOR SALE,FLAT DETAILS  LOCATION       : MARINE DRIVE BEDROOM      : 4 BATHROOM   : 4 SQFT                : 2461 FURNISHED    : SEMI Brokers please excuse . For more details contact,Kochi,Marine Drive,4 Bds , 4 Ba , 2461 ft2,"₹ 2,80,00,000"
TATA TRITVAM 4572 SQFT 5 BHK WATER FRONT FLAT,FLAT DETAILS  LOCATION       : MARINE DRIVE BEDROOM      : 5 BATHROOM   : 8 SQFT                : 4572 FURNISHED    : NO Brokers please excuse . For more details contact,Kochi,Marine Drive,4+ Bds , 4+ Ba , 4572 ft2,"₹ 4,00,00,000"
2223 SQFT 3 BHK FLAT PRESTIGE NEPTUNES COURT YARD MARINE DRIVE,FLAT DETAILS  LOCATION       : MARINE DRIVE BEDROOM      : 3 BATHROOM   : 4 SQFT                : 2223 FURNISHED    : SEMI Brokers please excuse . For more details contact,Kochi,Marine Drive,3 Bds , 4 Ba , 2223 ft2,"₹ 1,95,00,000"
4 BHK PRESTIGE NEPTUNES COURT YARD MARINE DRIVE,FLAT DETAILS  LOCATION       : MARINE DRIVE BEDROOM      : 4 BATHROOM   : 5 SQFT                : 2744 FURNISHED    : NO Brokers please excuse . For more details contact,Kochi,Marine Drive,4 Bds , 4+ Ba , 2744 ft2,"₹ 2,50,00,000"
5 BHK PRESTIGE NEPTUNES COURTYARD MARINE DRIVE,FLAT DETAILS  LOCATION       : MARINE DRIVE BEDROOM      : 5 BATHROOM   : 6 SQFT                : 3935 FURNISHED    : SEMI Brokers please excuse . For more details contact,Kochi,Marine Drive,4+ Bds , 4+ Ba , 3935 ft2,"₹ 3,90,00,000"
4 BHK PRESTIGE MARINE DRIVE 2895 SQFT,FLAT DETAILS  LOCATION       : MARINE DRIVE BEDROOM      : 4 BATHROOM   : 3 SQFT                : 2895 FURNISHED    : NO Brokers please excuse . For more details contact,Kochi,Marine Drive,4 Bds , 4+ Ba , 2895 ft2,"₹ 2,60,00,000"
PRESTIGE 2099 SQFT 3 BHK FULL WATER FACING 12 TH FLOOR  MARINE DRIVE,FLAT DETAILS  LOCATION       : MARINE DRIVE BEDROOM      : 3 BATHROOM   : 4 SQFT                : 2099 FURNISHED    : FULL FURNISHED Brokers please excuse . For more details contact,Kochi,Marine Drive,3 Bds , 4 Ba , 2099 ft2,"₹ 2,20,00,000"
FULLY FURNISHED POSH FLAT FOR SALE AT MARINE DRIVE,FLAT DETAILS  LOCATION       : MARINE DRIVE BEDROOM      : 3  BATHROOM   : 4 SQFT                : 1885 FURNISHED    : FULLY FURNISHED Brokers please excuse . For more details contact,Kochi,Marine Drive,3 Bds , 4 Ba , 1885 ft2,"₹ 2,10,00,000"
URGENT SALE PURAVA GRAND BAY MARINE DRIVE,FLAT DETAILS  LOCATION       : MARINE DRIVE BEDROOM      : 3 BATHROOM   : 4 SQFT                : 1885 FURNISHED    : NO Brokers please excuse . For more details contact,Kochi,Marine Drive,3 Bds , 4 Ba , 1885 ft2,"₹ 1,25,00,000"
10 cent 3500 sqft posh villa thevara for sale 4 bhk,VILLA DETAILS           LAND AREA      :  10 SQFT                 : 3500 BEDROOM       : 4 BATHROOM    : 5 LOCATION       : thevara FURNISHED     : no Brokers please excuse . For more details contact .,Kochi,Thevara,4 Bds , 4+ Ba , 3500 ft2,"₹ 3,90,00,000"
1800 sqft 2 bhk flat for sale at panmpilly nagar.,1800 sqft 2 bhk flat for sale at panmpilly nagar.Brokers please excuse . For more details contact .,Kochi,Panampilly Nagar,2 Bds , 2 Ba , 1850 ft2,"₹ 1,40,00,000"
SKYLINE TEMPLETON 3 BHK APARTMENT FOR SALE,A stunningly beautiful 12 storeyed structure with all round commanding views of the city...that's Skyline Templetion for you.,Kochi,MG Road,3 Bds , 3 Ba , 1684 ft2,"₹ 1,10,00,000"
Noel earth song brand new flat kadavanthara 3 bhk,1800 sqft posh flat noel earth song kadavanthara.Brokers please excuse . For more details contact .,Kochi,Kadavanthara,3 Bds , 3 Ba , 1800 ft2,"₹ 1,70,00,000"
Asset Le Grande 3 bhk apartment for sale,"For those who think, live and breath a life style of grandeur, Asset Homes presents Asset Le Grande at the poshest residential area of Kochi-Jawahar Nagar.",Kochi,Kadavanthara,3 Bds , 3 Ba , 1640 ft2,"₹ 1,35,00,000"
2100 sqft 3 bhk flat jawahar nagar kadavanthara,2100 sqft 3 bhk flat jawahar nagar kadavanthara.Brokers please excuse . For more details contact .,Kochi,Kadavanthara,3 Bds , 4 Ba , 2100 ft2,"₹ 1,50,00,000"
2650 sqft 4 bhk flat for sale at mather el castilo jawhar nagar,2650 sqft 4 bhk flat for sale at mather el castilo jawhar nagar kadavanthara. Brokers please excuse . For more details contact .,Kochi,Kadavanthara,4 Bds , 4+ Ba , 2650 ft2,"₹ 1,90,00,000"
asset luminare 1800 sqft brand new 3 bhk flat for sale at kadavanthara,asset luminare 1800 sqft brand new 3 bhk flat for sale at kadavanthara. Brokers please excuse . For more details contact .,Kochi,Kadavanthra,3 Bds , 4 Ba , 1800 ft2,"₹ 1,45,00,000"
sfs beverly park kadavanthara 2200 sqft 3 bhk flat for sale.,2200 sqft flat sfs beverly park kadavanthara .Brokers please excuse . For more details contact .,Kochi,Kadavanthara,3 Bds , 4 Ba , 2200 ft2,"₹ 2,25,00,000"
M drive 3bhk flat for rent,"M drive prasanna vihar , fully furnished 3 bhk flat, for rent , road facing flat on 4th floor",Kochi,Marine Drive,3 Bds , 3 Ba , 1700 ft2,"₹ 30,000"
4 BHK BRAND NEW FLAT FOR SALE AT PANAMPILLY NAGAR,4 BHK BRAND NEW FLAT FOR SALE AT PANAMPILLY NAGAR. FOR MORE DETAILS CONTACT. BROKERS PLEASE EXCUSE,Kochi,Panampilly Nagar,4 Bds , 4+ Ba , 2650 ft2,"₹ 2,20,00,000"
2100 sqft 3 bhk brand new flat at panampilly nagar,2100 sqft 3 bhk brand new flat at panampilly nagar .Brokers please excuse . For more details contact .,Kochi,Panampilly Nagar,3 Bds , 4+ Ba , 2100 ft2,"₹ 1,90,00,000"
abad 2 bhk posh falt for sale at panampilly nagar,abad 2 bhk posh falt for sale at panampilly nagar. Brokers please excuse . For more details contact .,Kochi,Panampilly Nagar,2 Bds , 2 Ba , 1100 ft2,"₹ 88,00,000"
2100 SQFT 3 BHK FLAT FOR SALE AT KADAVANTHRA,"2100 sqft 3BHK brand new flat for sale at Kalyan Marvella kadavantra, kochi and is a well-planned project. Kalyan Marvella offers a contemporary lifestyle to its residents and is the perfect place to own your dream home.  For more details contact. Brokers please excuse.",Kochi,Kadavanthra,3 Bds , 3 Ba , 2100 ft2,"₹ 1,50,00,000"
House For Sale In Heart Of Fortkochi,•LOCATED IN A PRIME AREA OF FORTKOCHI (nalliparambu) •LAND CONSISTS OF 3 cents •one of few properties available in this area •Bus stop and other infrastructures in walking distance  •Loan assistance Available,Kochi,Fort Kochi,2 Bds , 2 Ba , 1000 ft2,"₹ 80,00,000"
"Urgent- Newly built 2 BHK flat for sale in panampilly nagar, kochi","Available for sale newly built 2 BHK flat in Panampily Nagar, kochi. Unfurnished , comfortably positioned on the 5th floor of a 13-storey building. This flat of 951 sqft super area is meticulously designed making the optimum use of the available space and is perfect for a small/medium family. All amenities included.",Kochi,Panampilly Nagar,2 Bds , 2 Ba , 951 ft2,"₹ 59,00,000"
4 BHK House in Panampilly Nagar,3200 SqFt 7.75 cent approximately,Kochi,Panampilly Nagar,4 Bds , 4+ Ba , 3200 ft2,"₹ 3,30,00,000"
House for sale in Panampilly Nagar,Located at the middle of Cross Road. 30+ years old. 7+ cent Corner plot,Kochi,Panampilly Nagar,3 Bds , 2 Ba , 1500 ft2,"₹ 2,25,00,000"
2 house sale,2 House urgent sale in thoppumpady manasherri price negotiable,Kochi,Mundamveli,2 Bds , 1 Ba , 1200 ft2,"₹ 40,00,000"
House for sale at south moolamkuzhy.,"House in 2.081 cents with 2 floors is available for sale.. Ground floor has 1 bedroom,common  bathroom,hall,kitchen and work area. First floor has 2 bedrooms  ,hall. Roof topped terrace.peaceful residential area with  all facilities  available  near by. Brokeres please excuse.",Kochi,Thoppumpady,3 Bds , 3 Ba , 0 ft2,"₹ 48,00,000"
"Residential House For Sale at Indira Nagar,Kadavanthra","Residential House For Sale at Indira Nagar,Kadavanthra  Another beautiful house for sale, that needs absolutely nothing, simply walk in and take your shoes off, and enjoy life at its best.  12 cents with a beautiful house (Luxuary), 2 storey with 3 bed Rooms 4000 sq ft and Garden etc... Close and convenient to all.  The price is not fixed. This is a nice and private location, that resides in a very quiet and friendly neighbourhood.  Don’t be shy, if you have any questions please contact Me, as I would love to hear from you.  We are the Largest and Only Direct Real estate brokers in the Panampilly Nagar based.  SERIOUS INQUIRIES ONLY PLEASE and BE PROUD WITH US !!!  That's All!  PANAMPILLY REGGI",Kochi,Kadavanthara,3 Bds , 3 Ba , 4000 ft2,"₹ 1,23,45,678"
